cell_name,frxn_cell.type_Path1.Term,frxn_cell.type_Path2.Term,frxn_cell.type_Path3.Term,Lagrangian,Error
Cell_1,0.994891577140831,0,0.00510842285916952,873.454714001893,2764.61321816104
Cell_2,1,0,0,1020.99692336557,2800.22460812581
Cell_3,1,0,0,1129.4173986804,2908.31088446195
Cell_4,0.981646494308606,0,0.0183535056913944,980.97589605802,2963.36410454996
Cell_5,1,0,0,1056.40625089659,2898.7859171707
Cell_6,1,0,0,1172.80622762469,3023.43888631549
Cell_7,0.986394232684595,0.0115329582313287,0.00207280908407579,1104.29265416702,3041.39521240428
Cell_8,1,-3.46944695195361e-18,0,1135.88097675995,3022.70979985684
Cell_9,1,0,0,1190.96776165511,3112.99451443883
Cell_10,0.99113847628414,0,0.00886152371586037,1017.80783817129,3022.69608929334
Cell_11,1,0,0,1221.49761265119,3061.05630736598
Cell_12,1,0,0,1140.83530912395,3082.30233478603
Cell_13,1,8.67361737988404e-19,0,1104.0579717654,3037.0877101527
Cell_14,0.981250798216674,0,0.0187492017833256,1285.32103498037,3132.2973079948
Cell_15,0.999732888840886,0,0.000267111159113785,1147.2662814998,3067.91151743148
Cell_16,1,0,0,1129.39357469816,3062.54378281659
Cell_17,1,0,-8.67361737988404e-19,1073.81648057499,3020.81128429344
Cell_18,0.982253487005601,0.00453663669228927,0.01320987630211,1185.05557965289,3141.99605636929
Cell_19,0.984195146535371,0.0158048534646289,0,1132.33072891735,3070.97250661224
Cell_20,1,0,0,1284.83373345734,3139.83881297021
Cell_21,1,0,6.93889390390723e-18,1097.86895366421,3024.24472324531
Cell_22,0.998666285531151,0.00133371446884885,0,1181.19693558034,3048.81109030108
Cell_23,0.993244842087091,0,0.00675515791290916,1335.26344138505,3151.16662477157
Cell_24,0.985881474780745,0,0.0141185252192548,1204.48674615263,3152.52420974576
Cell_25,1,0,0,1170.10742793877,3160.15917207429
Cell_26,0.980124777545167,0,0.0198752224548326,1320.429477607,3202.29424585279
Cell_27,1,0,0,1273.77938393762,3165.00041491776
Cell_28,0.998928544440365,0.00107145555963458,0,1104.35715275027,3073.67730894274
Cell_29,0.98517134421515,0,0.0148286557848498,1236.10786818818,3181.88556788116
Cell_30,1,0,0,1187.90804891714,3103.92816168275
Cell_31,1,0,0,1119.39470855004,3134.38432760996
Cell_32,1,0,0,1212.40452479711,3182.59454920034
Cell_33,0.987018817295738,0,0.0129811827042619,1236.55613131997,3124.26358968815
Cell_34,1,0,6.93889390390723e-18,1245.21476459243,3214.65591474383
