cell_name,frxn_cell.type_Path1.Term,frxn_cell.type_Path2.Term,frxn_cell.type_Path3.Term,Lagrangian,Error
Cell25,0.02356918858601,-2.58649204885727e-18,0.97643081141399,1847.3124644342,3771.78814838563
Cell40,0.383122008157756,0.302403232697413,0.314474759144832,1217.7212496435,3811.7785772594
Cell117,0.0658748236555819,0,0.934125176344418,1364.5822246637,3476.86712983417
Cell137,0.352232110665902,0.330826206199595,0.316941683134503,1873.32352617296,4418.02580076385
Cell193,0.0538968972137947,0.933850017867947,0.0122530849182584,1000.25275353574,2967.03400618803
Cell253,0.366784634466275,0.290502141195575,0.34271322433815,1267.98193606565,3928.71234851694
Cell288,0.348881608408492,0.334351780379841,0.316766611211667,1062.10728673798,3695.97443463982
Cell298,0.0567618635184409,0.943238136481559,0,1489.50185463994,3481.9373352299
Cell360,0.335368218765513,0.351460118040537,0.31317166319395,930.504914781315,3441.91570043349
Cell374,0.00500988293436803,0.933109704438783,0.0618804126268485,1496.10070227132,3433.75060734953
Cell378,0,0.0218452411368858,0.978154758863114,1034.62662224434,2848.42654201247
Cell446,0.333714830069577,0.326534728367856,0.339750441562566,1429.27552772976,4072.5080759548
Cell523,0.36604393385599,0.322474154081274,0.311481912062736,1177.54275411605,3718.78779604232
Cell574,0.0331272282015251,0.00361248502159818,0.963260286776877,1566.59877051326,3550.32626433045
Cell581,0.348357867838814,0.318241012829603,0.333401119331584,1499.59129174467,4009.07659474106
Cell654,0.383802217134803,0.30785011443323,0.308347668431967,1519.68921705444,4096.20398940792
Cell775,0.00757892725851168,0.00921926235583668,0.983201810385652,1084.34088837469,2965.69197273335
Cell813,0,0.905654044428496,0.094345955571504,1348.07178827987,3369.81074573292
Cell887,0.346062931513056,0.309480721143246,0.344456347343698,1599.48777613964,4087.29263131827
Cell968,0.366952742019235,0.356421331282307,0.276625926698458,1247.10096900136,3816.70246499645
Cell1024,0.0383538776299357,0.92673315121146,0.0349129711586039,1319.31738098156,3376.02984384712
Cell1035,0.371596967133481,0.29689059421601,0.331512438650509,1202.56486174325,3800.52860868126
Cell1057,3.33582931676887e-05,0.941725948005372,0.0582406937014598,1556.84889029154,3461.12224630989
Cell1084,1,0,-8.67361737988404e-19,1369.45384646434,3373.17271573174
Cell1109,0.392544844333427,0.325293640117013,0.28216151554956,1522.16351629322,4172.08978506715
Cell1171,0.358479677324042,0.359846386663653,0.281673936012305,1519.07511254768,4054.81809431217
Cell1206,0.370616135515741,0.312060098497563,0.317323765986695,1213.99051949341,3760.52323226773
Cell1423,0.377127126272863,0.291852906524797,0.33101996720234,1279.47195275847,3843.98265090857
Cell1442,0.36012239910923,0.360870686376731,0.279006914514039,1777.53555402977,4399.03637235595
Cell1456,0.342042313118116,0.35868820941536,0.299269477466524,1183.41387300268,3721.9969540075
Cell1522,0.366279224987881,0.322628127926318,0.311092647085801,1121.78340708714,3768.52703290382
Cell1592,0.375382704665369,0.331507725353674,0.293109569980956,1299.66169654286,3801.73838850458
Cell1611,0.0344181250239678,0.936762918709824,0.0288189562662083,1007.06397590951,3016.46310604945
Cell1631,0.399557476692502,0.301012144192313,0.299430379115185,1335.07204547933,3918.71183472863
Cell1665,0.96709065047227,0.0191453174327701,0.0137640320949597,1179.62690481989,3324.49902632244
