,Distance,Cell_Types,isADoublet,Group_Cluster
Cell_1,0.999745454679503,3,FALSE,1
Cell_12,0.999783541525367,3,FALSE,1
Cell_41,0.999763379711469,1,FALSE,1
Cell_45,0.999798121003945,1,FALSE,1
Cell_57,0.999963160321337,3,FALSE,1
Cell_59,0.997990089095448,1,FALSE,1
Cell_61,0.999750701465241,1,FALSE,1
Cell_62,0.999143930443761,1,FALSE,1
Cell_63,0.999932606622565,3,FALSE,1
Cell_95,0.999350647244674,3,FALSE,1
Cell_96,0.999956224155757,3,FALSE,1
Cell_100,0.999492781950208,1,FALSE,1
Cell_102,0.99990017382712,3,FALSE,1
Cell_103,0.999973858062771,3,FALSE,1
Cell_109,0.999848817816441,1,FALSE,1
Cell_127,0.999253126754696,1,FALSE,1
Cell_129,0.99999121688847,3,FALSE,1
Cell_139,0.99986609424792,1,FALSE,1
Cell_142,0.999815348666242,1,FALSE,1
Cell_144,0.976082271371562,1,FALSE,1
Cell_153,0.999828490998005,3,FALSE,1
Cell_166,0.999797467902776,3,FALSE,1
Cell_169,0.99914594363522,1,FALSE,1
Cell_183,0.999838955778233,1,FALSE,1
Cell_184,0.999966702721058,3,FALSE,1
Cell_187,0.998249689861512,3,FALSE,1
Cell_189,0.999526237980342,3,FALSE,1
Cell_194,0.998100318972745,1,FALSE,1
Cell_205,0.999828714626715,1,FALSE,1
Cell_212,0.999645440036852,3,FALSE,1
Cell_214,0.99995508349334,3,FALSE,1
Cell_215,0.99986759657654,3,FALSE,1
Cell_221,0.999973858062771,3,FALSE,1
Cell_223,0.999970509197082,3,FALSE,1
Cell_224,0.995032070073164,1,FALSE,1
Cell_228,0.998235270722546,1,FALSE,1
Cell_232,0.999820516832928,1,FALSE,1
Cell_236,0.999725365544864,1,FALSE,1
Cell_239,0.999861967217919,3,FALSE,1
Cell_243,0.999598225917741,1,FALSE,1
Cell_246,0.999606105767736,1,FALSE,1
Cell_249,0.998007605385866,8,FALSE,1
Cell_251,0.999863032232749,1,FALSE,1
Cell_255,0.999918266312783,3,FALSE,1
Cell_257,0.999581947536085,7-8-1-3-5-even,TRUE,1
Cell_265,0.988476926909918,8,FALSE,1
Cell_277,0.999879101156986,3,FALSE,1
Cell_280,0.999929030516379,3,FALSE,1
Cell_288,0.999216295661211,3,FALSE,1
Cell_300,0.999657940632746,1,FALSE,1
Cell_313,0.997944370625639,3,FALSE,1
Cell_324,0.999973858062771,3,FALSE,1
Cell_338,0.999719040668966,1,FALSE,1
Cell_340,0.999972038900529,3,FALSE,1
Cell_345,0.999181621911371,1,FALSE,1
Cell_347,0.999973858062771,3,FALSE,1
Cell_349,0.999820216513895,1,FALSE,1
Cell_357,0.988476168593787,1,FALSE,1
Cell_360,0.999556238298146,1,FALSE,1
Cell_361,0.999716084291946,3,FALSE,1
Cell_365,0.998922504006987,3,FALSE,1
Cell_371,0.999836282905068,1,FALSE,1
Cell_374,0.999685822352222,3,FALSE,1
Cell_379,0.999910225362565,3,FALSE,1
Cell_380,0.99964850885792,1,FALSE,1
Cell_385,0.99683571900845,8,FALSE,1
Cell_388,0.982497327129022,1,FALSE,1
Cell_392,0.99957581568159,7-8-1-3-5-one,TRUE,1
Cell_400,0.998630874890911,1,FALSE,1
Cell_408,0.999148587661415,3,FALSE,1
Cell_414,0.999703442007153,1,FALSE,1
Cell_419,0.996903752073598,1,FALSE,1
Cell_428,0.999971025600813,1,FALSE,1
Cell_435,0.995663159248593,1,FALSE,1
Cell_453,0.999458128263546,1,FALSE,1
Cell_454,0.999455798931491,1,FALSE,1
Cell_459,0.998411202767061,1,FALSE,1
Cell_470,0.998959622089883,1,FALSE,1
Cell_472,0.984860454743522,1,FALSE,1
Cell_481,0.999777972496101,1,FALSE,1
Cell_488,0.998340014324774,1,FALSE,1
Cell_494,0.989209822735598,7-8-1-3-9-one,TRUE,1
Cell_498,0.999806574002925,1,FALSE,1
Cell_509,0.999119089545049,1,FALSE,1
Cell_510,0.997111775971734,1,FALSE,1
Cell_518,0.99840860476816,3,FALSE,1
Cell_519,0.999322037061161,1,FALSE,1
Cell_528,0.999172811225047,3,FALSE,1
Cell_535,0.998499291463039,1,FALSE,1
Cell_543,0.997785985829124,1,FALSE,1
Cell_549,0.99972361542446,1,FALSE,1
Cell_552,0.99982169377772,3,FALSE,1
Cell_554,0.999561512876265,3,FALSE,1
Cell_555,0.999963672582715,3,FALSE,1
Cell_560,0.998185042882881,7-8-1-3-5-one,TRUE,1
Cell_572,0.999531316104239,1,FALSE,1
Cell_579,0.999922784371573,3,FALSE,1
Cell_589,0.999966966681967,3,FALSE,1
Cell_595,0.995745944703657,1,FALSE,1
Cell_600,0.99680672316205,8,FALSE,1
Cell_604,0.998177742123316,1,FALSE,1
Cell_605,0.998879536831654,3,FALSE,1
Cell_606,0.987843020976099,1,FALSE,1
Cell_620,0.998701988217553,1,FALSE,1
Cell_634,0.999941721307025,3,FALSE,1
Cell_637,0.999342881692805,1,FALSE,1
Cell_660,0.995410669762279,1,FALSE,1
Cell_664,0.999722453858973,1,FALSE,1
Cell_671,0.992038773729573,8,FALSE,1
Cell_687,0.999878590942601,3,FALSE,1
Cell_692,0.999562377560162,3,FALSE,1
Cell_693,0.997592656861924,1,FALSE,1
Cell_698,0.999500712594467,3,FALSE,1
Cell_702,0.999920746102409,3,FALSE,1
Cell_705,0.996823087904726,1,FALSE,1
Cell_706,0.988859951116527,7-8-1-3-9-one,TRUE,1
Cell_709,0.998727219331114,7-8-1-3-5-even,TRUE,1
Cell_711,0.999821495816064,1,FALSE,1
Cell_721,0.999583357674338,1,FALSE,1
Cell_722,0.999861997143096,1,FALSE,1
Cell_732,0.999812746756386,1,FALSE,1
Cell_742,0.999437879372963,3,FALSE,1
Cell_745,0.999802847292759,1,FALSE,1
Cell_748,0.997580332741117,3,FALSE,1
Cell_752,0.994853609443834,1,FALSE,1
Cell_753,0.99907140250395,1,FALSE,1
Cell_754,0.998685334313538,7-8-1-3-5-one,TRUE,1
Cell_764,0.997115130279998,1,FALSE,1
Cell_767,0.999743763574799,1,FALSE,1
Cell_768,0.998930464273467,1,FALSE,1
Cell_773,0.999746943971521,1,FALSE,1
Cell_782,0.99968834869355,1,FALSE,1
Cell_783,0.999766681423329,1,FALSE,1
Cell_787,0.999929532701585,3,FALSE,1
Cell_788,0.999996941794315,3,FALSE,1
Cell_789,0.999973858062771,3,FALSE,1
Cell_790,0.995694856067267,7-8-1-3-10-one,TRUE,1
Cell_795,0.999842364248932,3,FALSE,1
Cell_799,0.999990154477173,3,FALSE,1
Cell_803,0.999860302768965,3,FALSE,1
Cell_811,0.999921238977039,3,FALSE,1
Cell_821,0.989308649320967,1,FALSE,1
Cell_825,0.998431881395935,1,FALSE,1
Cell_828,0.998619868720174,3,FALSE,1
Cell_843,0.999477145933558,1,FALSE,1
Cell_846,0.999107399589544,3,FALSE,1
Cell_850,0.989323249857453,1,FALSE,1
Cell_862,0.998782822781923,7-8-1-3-5-one,TRUE,1
Cell_863,0.999741945841017,1,FALSE,1
Cell_864,0.999791964291122,1,FALSE,1
Cell_872,0.999972072864701,3,FALSE,1
Cell_875,0.999402465361672,3,FALSE,1
Cell_877,0.999914365124747,3,FALSE,1
