,paul15_clusters,n_counts_all,louvain,louvain_anno,dpt_pseudotime,distance,clusters
0,7MEP,353.0,8,8,0.22554743,0.22554743,8
1,15Mo,2556.0,1,1,0.2735242,0.2735242,1
2,3Ery,4649.0,17,17,0.71017945,0.71017945,17
3,15Mo,4486.0,2,2,0.26790372,0.26790372,2
4,3Ery,5205.0,17,17,0.7819391,0.7819391,17
5,15Mo,1515.0,4,4,0.23829995,0.23829995,4
6,4Ery,2974.0,15,15,0.61476773,0.61476773,15
7,2Ery,344.0,13,13,0.54682714,0.54682714,13
8,3Ery,2545.0,18,18,0.5296708,0.5296708,18
9,2Ery,3103.0,10,10/Ery,0.83371377,0.83371377,10/Ery
10,2Ery,3107.0,5,5,0.7444902,0.7444902,5
11,17Neu,979.0,22,22/Baso,0.15399548,0.15399548,22/Baso
12,14Mo,1965.0,4,4,0.15421526,0.15421526,4
13,13Baso,1026.0,0,0,0.17627594,0.17627594,0
14,3Ery,2663.0,3,3,0.65073013,0.65073013,3
15,7MEP,285.0,12,12,0.2687622,0.2687622,12
16,3Ery,4386.0,3,3,0.7017112,0.7017112,3
17,3Ery,2855.0,17,17,0.86036116,0.86036116,17
18,2Ery,3092.0,10,10/Ery,0.70922273,0.70922273,10/Ery
19,8Mk,2339.0,20,20/Mk,0.3331047,0.3331047,20/Mk
20,3Ery,2153.0,18,18,0.5627963,0.5627963,18
21,9GMP,1540.0,0,0,0.053832132,0.053832132,0
22,8Mk,1329.0,20,20/Mk,0.17999622,0.17999622,20/Mk
23,10GMP,489.0,0,0,0.115751944,0.115751944,0
24,15Mo,811.0,1,1,0.2904995,0.2904995,1
25,16Neu,1874.0,14,14,0.4008929,0.4008929,14
26,4Ery,2392.0,6,6,0.6486961,0.6486961,6
27,13Baso,1317.0,0,0,0.0346835,0.0346835,0
28,17Neu,532.0,22,22/Baso,0.122946724,0.122946724,22/Baso
29,3Ery,4575.0,3,3,0.7326339,0.7326339,3
30,2Ery,3741.0,3,3,0.7217247,0.7217247,3
31,3Ery,2759.0,15,15,0.72129035,0.72129035,15
32,5Ery,1655.0,6,6,0.5557567,0.5557567,6
33,3Ery,2669.0,15,15,0.5595129,0.5595129,15
34,13Baso,1377.0,0,0,0.17155778,0.17155778,0
35,1Ery,2516.0,10,10/Ery,1.0,1.0,10/Ery
36,3Ery,2914.0,17,17,0.8073101,0.8073101,17
37,6Ery,3016.0,18,18,0.5147354,0.5147354,18
38,15Mo,1409.0,2,2,0.36994535,0.36994535,2
39,3Ery,1898.0,6,6,0.56275105,0.56275105,6
40,3Ery,2347.0,3,3,0.73237985,0.73237985,3
41,14Mo,2746.0,11,11,0.27396324,0.27396324,11
42,19Lymph,413.0,21,21,inf,inf,21
43,12Baso,960.0,16,16/Stem,0.0,0.0,16/Stem
44,3Ery,4458.0,17,17,0.861972,0.861972,17
