,orig.ident,nCount_RNA,nFeature_RNA,RNA_snn_res.0.8,seurat_clusters,pANN_0.25_0.09_205,DF.classifications_0.25_0.09_205,DF.classifications_0.25_0.09_179,pANN_0.25_0.09_149,DF.classifications_0.25_0.09_149,DF.classifications_0.25_0.09_130
Cell_0,Cell,353,277,4,4,0.0182926829268293,Singlet,Singlet,0.0182926829268293,Singlet,Singlet
Cell_1,Cell,2556,1021,0,0,0.225609756097561,Singlet,Singlet,0.225609756097561,Singlet,Singlet
Cell_2,Cell,4649,1466,5,5,0.332317073170732,Singlet,Singlet,0.332317073170732,Singlet,Singlet
Cell_3,Cell,4486,1415,2,2,0.481707317073171,Doublet,Doublet,0.481707317073171,Doublet,Doublet
Cell_4,Cell,5205,1505,5,5,0.332317073170732,Singlet,Singlet,0.332317073170732,Singlet,Singlet
Cell_5,Cell,1515,795,2,2,0.213414634146341,Singlet,Singlet,0.213414634146341,Singlet,Singlet
Cell_6,Cell,2974,1153,3,3,0.231707317073171,Singlet,Singlet,0.231707317073171,Singlet,Singlet
Cell_7,Cell,344,240,4,4,0.0121951219512195,Singlet,Singlet,0.0121951219512195,Singlet,Singlet
Cell_8,Cell,2545,1139,3,3,0.457317073170732,Doublet,Doublet,0.457317073170732,Doublet,Doublet
Cell_9,Cell,3103,1162,1,1,0.198170731707317,Singlet,Singlet,0.198170731707317,Singlet,Singlet
Cell_10,Cell,3107,1124,1,1,0.167682926829268,Singlet,Singlet,0.167682926829268,Singlet,Singlet
Cell_11,Cell,979,546,6,6,0.0731707317073171,Singlet,Singlet,0.0731707317073171,Singlet,Singlet
Cell_12,Cell,1965,903,0,0,0.26219512195122,Singlet,Singlet,0.26219512195122,Singlet,Singlet
Cell_13,Cell,1026,609,7,7,0.0792682926829268,Singlet,Singlet,0.0792682926829268,Singlet,Singlet
Cell_14,Cell,2663,1113,1,1,0.240853658536585,Singlet,Singlet,0.240853658536585,Singlet,Singlet
Cell_15,Cell,285,225,4,4,0.0182926829268293,Singlet,Singlet,0.0182926829268293,Singlet,Singlet
Cell_16,Cell,4386,1452,5,5,0.36280487804878,Doublet,Doublet,0.36280487804878,Doublet,Singlet
Cell_17,Cell,2855,1159,1,1,0.213414634146341,Singlet,Singlet,0.213414634146341,Singlet,Singlet
Cell_18,Cell,3092,1166,5,5,0.182926829268293,Singlet,Singlet,0.182926829268293,Singlet,Singlet
Cell_19,Cell,2339,1030,6,6,0.317073170731707,Singlet,Singlet,0.317073170731707,Singlet,Singlet
Cell_20,Cell,2153,969,3,3,0.176829268292683,Singlet,Singlet,0.176829268292683,Singlet,Singlet
Cell_21,Cell,1540,825,7,7,0.216463414634146,Singlet,Singlet,0.216463414634146,Singlet,Singlet
Cell_22,Cell,1329,758,6,6,0.189024390243902,Singlet,Singlet,0.189024390243902,Singlet,Singlet
Cell_23,Cell,489,348,6,6,0.0213414634146341,Singlet,Singlet,0.0213414634146341,Singlet,Singlet
Cell_24,Cell,811,461,6,6,0.024390243902439,Singlet,Singlet,0.024390243902439,Singlet,Singlet
Cell_25,Cell,1874,848,2,2,0.25609756097561,Singlet,Singlet,0.25609756097561,Singlet,Singlet
Cell_26,Cell,2392,1030,1,1,0.146341463414634,Singlet,Singlet,0.146341463414634,Singlet,Singlet
Cell_27,Cell,1317,750,7,7,0.225609756097561,Singlet,Singlet,0.225609756097561,Singlet,Singlet
Cell_28,Cell,532,366,4,4,0.0213414634146341,Singlet,Singlet,0.0213414634146341,Singlet,Singlet
Cell_29,Cell,4575,1391,5,5,0.347560975609756,Doublet,Singlet,0.347560975609756,Singlet,Singlet
Cell_30,Cell,3741,1290,5,5,0.265243902439024,Singlet,Singlet,0.265243902439024,Singlet,Singlet
Cell_31,Cell,2759,1156,5,5,0.286585365853659,Singlet,Singlet,0.286585365853659,Singlet,Singlet
Cell_32,Cell,1655,781,3,3,0.0884146341463415,Singlet,Singlet,0.0884146341463415,Singlet,Singlet
Cell_33,Cell,2669,1133,5,5,0.283536585365854,Singlet,Singlet,0.283536585365854,Singlet,Singlet
Cell_34,Cell,1377,707,7,7,0.0823170731707317,Singlet,Singlet,0.0823170731707317,Singlet,Singlet
Cell_35,Cell,2516,955,1,1,0.182926829268293,Singlet,Singlet,0.182926829268293,Singlet,Singlet
Cell_36,Cell,2914,1189,5,5,0.307926829268293,Singlet,Singlet,0.307926829268293,Singlet,Singlet
Cell_37,Cell,3016,1180,3,3,0.307926829268293,Singlet,Singlet,0.307926829268293,Singlet,Singlet
Cell_38,Cell,1409,699,2,2,0.13109756097561,Singlet,Singlet,0.13109756097561,Singlet,Singlet
Cell_39,Cell,1898,948,3,3,0.149390243902439,Singlet,Singlet,0.149390243902439,Singlet,Singlet
