cell_name,frxn_cell.type_BEC_DDC,frxn_cell.type_BEC_normal,frxn_cell.type_Dendritic cell.Fetal_liver,frxn_cell.type_Erythroblast_Hbb_bs high.Embryonic_Mesenchyme,frxn_cell.type_Erythroblast_Klf1 high.Fetal_liver,frxn_cell.type_Erythroid Cell.Embryonic_Mesenchyme,frxn_cell.type_Ganglion cell_Mapt high.Embryonic_Mesenchyme,frxn_cell.type_Hepatocyte_DDC,frxn_cell.type_Hepatocyte_normal,frxn_cell.type_Macrophage.Embryonic_Mesenchyme,frxn_cell.type_MEF.Trophoblast_Stem_Cell,frxn_cell.type_Muscle.Embryonic_Mesenchyme,frxn_cell.type_Neuron_Igfbpl1 high.Embryonic_Mesenchyme,frxn_cell.type_Neutrophil_Elane high.Fetal_liver,frxn_cell.type_Stem and progenitor cell.Fetal_liver,frxn_cell.type_Stromal Cell_Agtr2 high.Embryonic_Mesenchyme,frxn_cell.type_Stromal Cell_Cnmd high.Embryonic_Mesenchyme,frxn_cell.type_Stromal cell_Cxcl12 high.Embryonic_Mesenchyme,frxn_cell.type_Stromal Cell_Cxcl14 high.Embryonic_Mesenchyme,frxn_cell.type_Stromal Cell_fabp7 high.Embryonic_Mesenchyme,Lagrangian,Error
Cell_1,0.85378783229977,0,1.13334392991701e-17,-4.68710793747927e-18,-9.72854943514586e-18,2.50230116156205e-19,-7.82378363365052e-18,2.41151613849335e-17,4.10025445014093e-18,3.68521099265638e-18,0.0921973395002461,-1.37186392489327e-17,1.28129489645448e-17,-2.64555211457046e-17,-7.04055055813461e-17,9.18228010293027e-18,-1.04535511161064e-17,3.88460809152102e-17,-1.38777878078145e-17,2.29825442109206e-17,0,896.724820416084
Cell_2,0.79649539375406,-3.82275608439749e-18,5.22921317827779e-17,7.02100452470827e-18,-6.68453730615771e-17,2.11972819923528e-17,-1.70652376892011e-17,-8.42895162323818e-19,8.44333338439452e-19,-8.85271344036071e-18,0.0747740110862039,2.77223537098699e-17,-4.40759713287205e-17,-7.85778422252271e-18,-6.25276727752172e-17,-1.4178325911159e-17,0,-2.23616027871322e-18,1.27975855831419e-16,-3.09042807615693e-17,0,1051.83002463378
Cell_3,0.907126894370769,0.0320640478967187,-1.32049432056719e-17,1.26770288525155e-18,2.09198995880719e-18,4.42973991502435e-18,-1.24990214017517e-18,2.04295316270335e-18,-2.78921915840442e-17,9.67994477222629e-18,0,-1.895097823001e-17,0,2.91940581222918e-17,-1.11308578470315e-17,5.6115683408867e-18,1.48102574781824e-18,-2.45386471694407e-19,-2.68445028163673e-17,-6.87509765940719e-19,0,807.492794301505
Cell_4,0.78625716254776,0.0813211740819077,-3.32755773604617e-17,-2.26759104971033e-17,-1.38647874486024e-17,2.72037399785981e-18,7.7496148457992e-17,-2.09011997523543e-17,-9.27002905527925e-19,3.3035772206175e-18,-1.85855781426178e-17,2.59988705808474e-17,-8.57264147761309e-18,-2.14459629269713e-18,7.15697970106471e-18,-2.09230788222065e-17,0,7.36334584139857e-18,1.74843549074844e-17,0,0,1040.21153246225
Cell_5,0.90524072122618,1.01996309769476e-17,2.81661725435907e-19,5.45820133423005e-18,1.23610781597364e-18,7.23077733111366e-19,0.0047479705204448,-1.821215125188e-18,0.0132204774117662,1.30475580493751e-18,1.26736956690943e-18,-2.13804966515655e-17,0,0.0123099876804566,6.53070188588256e-18,3.33798870338327e-19,-2.05772803595029e-17,-8.71210907056914e-18,0,-1.21786961090209e-18,0,922.607142750045
Cell_6,0.837643268570432,8.92699912685877e-18,-1.7425251121276e-17,-1.52057299964153e-17,1.83179290170907e-17,-2.60567116611165e-17,2.56570036476208e-17,-5.14602296380095e-17,0.00744874912187602,-3.25982314498009e-18,-7.16602273936498e-19,5.5222388948517e-17,0,1.11036836879892e-17,-1.83832143421325e-17,2.30814605233933e-17,2.52237833040511e-17,-6.53826802164846e-17,2.09427399931287e-17,-1.18167164159593e-17,0,1041.30499105147
Cell_7,0.930362677740754,0.00607510060909351,2.56898480872011e-17,8.67361737988404e-19,0.00412267976601079,-2.68346250339837e-17,8.13845440855933e-19,9.93105044459806e-18,2.93805636614248e-18,3.33615831877911e-18,4.47530638283882e-19,0.0244152512127121,-1.04208055988627e-17,1.21911128634819e-17,1.26200323144481e-18,6.58238056196014e-18,6.0367009377918e-18,-1.47562217388761e-17,9.88780126077672e-18,6.45905308851814e-19,0,659.58798893149
Cell_8,0.902523488909317,-3.38428497080506e-18,1.124334445297e-19,0.00342186736736212,0.0422003891079592,2.35391604474727e-18,-2.23754355513338e-18,0,-1.37802442901143e-18,-7.24636951578128e-18,1.64863749056896e-18,-9.90797563988123e-18,-7.18607369223194e-19,0.0073959505787824,0.0120123846825744,-2.9348601541135e-17,3.88043518763438e-18,1.07218678533711e-17,-2.6096342459387e-17,0.0114816832451841,0,663.950954313787
Cell_9,0.911720580535775,0,2.03515009971116e-17,1.22814707517098e-17,6.71731738325374e-17,-2.95200941401688e-18,-8.33675961845961e-18,1.95341274866699e-17,-4.41267822198051e-18,2.25339284302606e-17,0.00842876348826904,1.114363546147e-19,1.69395148243072e-17,-3.68175527859783e-17,-2.47418222399868e-18,1.4105021163819e-18,-1.32553255562173e-17,-7.88931279284948e-18,-7.95020234411696e-18,2.33088417460849e-18,0,898.698037219722
Cell_10,0.837904578097539,0,1.88755428183496e-17,-9.84825950700467e-18,8.5214739977702e-17,-8.72829358051256e-18,-3.36783305963458e-17,7.03206647790493e-17,-1.65287913583207e-17,-6.46693119209783e-17,0,-7.20828945351942e-18,2.05447532572476e-17,7.61736687013564e-18,6.18898842814768e-17,-1.26760767457152e-17,2.83732499294831e-17,-1.70729688194569e-17,1.38777878078145e-17,5.02202784166908e-17,0,1048.20188112749
Cell_11,0.906598010035793,-3.79643948360077e-18,6.93353797835219e-18,1.77191716612874e-17,-9.03480573218231e-18,5.46663054379909e-18,2.10971485272736e-17,-6.3359702864279e-18,0,-1.3255523812127e-17,0,2.17957189298684e-17,-1.00289415533372e-17,-2.1282763759923e-17,1.7069282465415e-17,1.06134566687791e-17,-3.74248436873424e-17,1.10511750137809e-17,-2.03024752845272e-17,-2.68072212658485e-17,0,951.798228029087
Cell_12,0.827699789239997,-1.85313733929295e-17,3.1947930537848e-17,-5.52525739945792e-18,-1.01519417327316e-17,1.50885990642088e-18,-1.05246037795943e-17,0,-1.6340893780194e-17,8.92565982931641e-19,4.94593163789587e-17,-2.60669886141121e-17,-4.91480450163028e-18,7.1584796666575e-17,7.10990915768391e-20,-6.17663700700602e-17,3.07091679825886e-17,2.81119166140341e-17,5.03458094732603e-17,-4.24115834507363e-18,0,1043.43014586298
Cell_13,0.900269129180175,0.00653039309364124,6.30811417755667e-18,0.0119032292881228,-3.81602718499129e-18,0,8.70577224268857e-18,3.20697397164621e-17,1.06681627423912e-18,-5.86708767864286e-19,0.0480156010342466,-1.26873116078511e-18,4.50753548821272e-18,2.81789403492252e-17,4.29509323133896e-18,5.59312011224937e-18,0.0187594580267685,-5.35249951896979e-21,5.87459636830082e-18,-3.65398968448077e-18,0,727.417367609979
Cell_14,0.873676974361294,7.32850576712241e-18,-1.23637918850774e-18,9.11349037129648e-19,0.0268782210271716,-1.0888909047668e-18,1.58080563000489e-18,-1.42932013520932e-20,-6.93737922960535e-19,5.74709102490367e-18,0,0.0106853401499526,5.69458620205783e-18,1.20305371431827e-17,0.0418605065961239,-4.52498494596557e-17,2.35233017335817e-18,-6.23248307096332e-18,-4.84635622232997e-18,0.0162544614931532,0,776.64637030117
