ENSMUSG00000051951	Xkr4	Gene Expression
ENSMUSG00000089699	Gm1992	Gene Expression
ENSMUSG00000102343	Gm37381	Gene Expression
ENSMUSG00000025900	Rp1	Gene Expression
ENSMUSG00000025902	Sox17	Gene Expression
ENSMUSG00000104328	Gm37323	Gene Expression
ENSMUSG00000033845	Mrpl15	Gene Expression
ENSMUSG00000025903	Lypla1	Gene Expression
ENSMUSG00000104217	Gm37988	Gene Expression
ENSMUSG00000033813	Tcea1	Gene Expression
ENSMUSG00000002459	Rgs20	Gene Expression
ENSMUSG00000085623	Gm16041	Gene Expression
ENSMUSG00000033793	Atp6v1h	Gene Expression
ENSMUSG00000025905	Oprk1	Gene Expression
ENSMUSG00000033774	Npbwr1	Gene Expression
ENSMUSG00000025907	Rb1cc1	Gene Expression
ENSMUSG00000090031	4732440D04Rik	Gene Expression
ENSMUSG00000087247	Alkal1	Gene Expression
ENSMUSG00000033740	St18	Gene Expression
ENSMUSG00000051285	Pcmtd1	Gene Expression
ENSMUSG00000097797	Gm26901	Gene Expression
ENSMUSG00000103067	Gm30414	Gene Expression
ENSMUSG00000025909	Sntg1	Gene Expression
ENSMUSG00000061024	Rrs1	Gene Expression
ENSMUSG00000025911	Adhfe1	Gene Expression
ENSMUSG00000067879	3110035E14Rik	Gene Expression
ENSMUSG00000099827	Gm29520	Gene Expression
ENSMUSG00000025912	Mybl1	Gene Expression
ENSMUSG00000045210	Vcpip1	Gene Expression
ENSMUSG00000097893	1700034P13Rik	Gene Expression
ENSMUSG00000025915	Sgk3	Gene Expression
ENSMUSG00000046101	Mcmdc2	Gene Expression
ENSMUSG00000098234	Snhg6	Gene Expression
ENSMUSG00000099032	Tcf24	Gene Expression
ENSMUSG00000025916	Ppp1r42	Gene Expression
ENSMUSG00000087199	Gm15818	Gene Expression
ENSMUSG00000025917	Cops5	Gene Expression
ENSMUSG00000056763	Cspp1	Gene Expression
ENSMUSG00000067851	Arfgef1	Gene Expression
ENSMUSG00000042501	Cpa6	Gene Expression
ENSMUSG00000048960	Prex2	Gene Expression
ENSMUSG00000057715	A830018L16Rik	Gene Expression
ENSMUSG00000097171	Gm17644	Gene Expression
ENSMUSG00000101314	Gm29663	Gene Expression
ENSMUSG00000016918	Sulf1	Gene Expression
ENSMUSG00000025938	Slco5a1	Gene Expression
ENSMUSG00000099498	Gm29283	Gene Expression
ENSMUSG00000042414	Prdm14	Gene Expression
ENSMUSG00000005886	Ncoa2	Gene Expression
ENSMUSG00000101476	Gm29570	Gene Expression
ENSMUSG00000025935	Tram1	Gene Expression
ENSMUSG00000025937	Lactb2	Gene Expression
ENSMUSG00000067813	Xkr9	Gene Expression
ENSMUSG00000025932	Eya1	Gene Expression
ENSMUSG00000054493	Gm9947	Gene Expression
ENSMUSG00000025930	Msc	Gene Expression
ENSMUSG00000032769	Trpa1	Gene Expression
ENSMUSG00000092083	Kcnb2	Gene Expression
ENSMUSG00000025925	Terf1	Gene Expression
ENSMUSG00000032719	Sbspon	Gene Expression
ENSMUSG00000067795	4930444P10Rik	Gene Expression
ENSMUSG00000043716	Rpl7	Gene Expression
ENSMUSG00000025921	Rdh10	Gene Expression
ENSMUSG00000100868	Gm28095	Gene Expression
ENSMUSG00000025920	Stau2	Gene Expression
ENSMUSG00000089982	Gm7568	Gene Expression
ENSMUSG00000025939	Ube2w	Gene Expression
ENSMUSG00000079658	Eloc	Gene Expression
ENSMUSG00000097744	D030040B21Rik	Gene Expression
ENSMUSG00000025940	Tmem70	Gene Expression
ENSMUSG00000025779	Ly96	Gene Expression
ENSMUSG00000101640	Gm28376	Gene Expression
ENSMUSG00000042686	Jph1	Gene Expression
ENSMUSG00000100110	Gm28783	Gene Expression
ENSMUSG00000025777	Gdap1	Gene Expression
ENSMUSG00000099899	Gm28784	Gene Expression
ENSMUSG00000067780	Pi15	Gene Expression
ENSMUSG00000100053	Gm28154	Gene Expression
ENSMUSG00000085125	Gm16070	Gene Expression
ENSMUSG00000025776	Crispld1	Gene Expression
ENSMUSG00000099895	Gm28153	Gene Expression
ENSMUSG00000025774	Crisp4	Gene Expression
ENSMUSG00000073735	Defb18	Gene Expression
ENSMUSG00000067773	Defb41	Gene Expression
ENSMUSG00000089787	Gm15825	Gene Expression
ENSMUSG00000042596	Tfap2d	Gene Expression
ENSMUSG00000025927	Tfap2b	Gene Expression
ENSMUSG00000100538	Gm28340	Gene Expression
ENSMUSG00000043760	Pkhd1	Gene Expression
