gene.ensembl	gene.sym
NA	0610007P14Rik
ENSMUSG00000007777	0610009B22Rik
ENSMUSG00000043644	0610009L18Rik
NA	0610009O20Rik
ENSMUSG00000042208	0610010F05Rik
ENSMUSG00000020831	0610010K14Rik
NA	0610011F06Rik
ENSMUSG00000107002	0610012G03Rik
ENSMUSG00000058706	0610030E20Rik
ENSMUSG00000028608	0610037L13Rik
ENSMUSG00000060512	0610040J01Rik
NA	1110001J03Rik
ENSMUSG00000090066	1110002E22Rik
NA	1110004E09Rik
ENSMUSG00000030663	1110004F10Rik
NA	1110008F13Rik
ENSMUSG00000021023	1110008L16Rik
ENSMUSG00000039195	1110008P14Rik
ENSMUSG00000045237	1110012L19Rik
ENSMUSG00000028441	1110017D15Rik
ENSMUSG00000068073	1110025L11Rik
ENSMUSG00000037971	1110032A03Rik
ENSMUSG00000046999	1110032F04Rik
NA	1110034G24Rik
NA	1110037F02Rik
ENSMUSG00000063236	1110038F14Rik
ENSMUSG00000040591	1110051M20Rik
ENSMUSG00000068067	1110057P08Rik
ENSMUSG00000035171	1110059E24Rik
ENSMUSG00000032551	1110059G10Rik
ENSMUSG00000078570	1110065P20Rik
ENSMUSG00000045414	1190002N15Rik
NA	1190003K10Rik
ENSMUSG00000043687	1190005I06Rik
ENSMUSG00000063320	1190007I07Rik
ENSMUSG00000033688	1300017J02Rik
ENSMUSG00000068099	1500009C09Rik
ENSMUSG00000087651	1500009L16Rik
ENSMUSG00000072694	1500011B03Rik
ENSMUSG00000051319	1500011K16Rik
ENSMUSG00000026051	1500015O10Rik
ENSMUSG00000043747	1520401A03Rik
NA	1600002H07Rik
ENSMUSG00000035595	1600002K03Rik
ENSMUSG00000050088	1600012H06Rik
ENSMUSG00000054676	1600014C10Rik
ENSMUSG00000094690	1600014C23Rik
ENSMUSG00000029813	1600015I10Rik
ENSMUSG00000057818	1600029O15Rik
ENSMUSG00000029182	1700001C02Rik
ENSMUSG00000047150	1700001C19Rik
ENSMUSG00000095384	1700001F09Rik
ENSMUSG00000095040	1700001J03Rik
ENSMUSG00000101963	1700001J11Rik
ENSMUSG00000056508	1700001K19Rik
ENSMUSG00000021534	1700001L19Rik
ENSMUSG00000044320	1700001O22Rik
ENSMUSG00000018543	1700001P01Rik
ENSMUSG00000030030	1700003E16Rik
ENSMUSG00000038523	1700003F12Rik
ENSMUSG00000039174	1700003H04Rik
ENSMUSG00000102463	1700003N22Rik
ENSMUSG00000027973	1700006A11Rik
NA	1700006E09Rik
NA	1700007B14Rik
ENSMUSG00000101234	1700007E05Rik
NA	1700007G11Rik
NA	1700007K09Rik
ENSMUSG00000026831	1700007K13Rik
ENSMUSG00000008028	1700008O03Rik
ENSMUSG00000069118	1700008P02Rik
ENSMUSG00000028287	1700009N14Rik
ENSMUSG00000057047	1700010B08Rik
ENSMUSG00000023873	1700010I14Rik
ENSMUSG00000101855	1700010N08Rik
NA	1700011E24Rik
NA	1700011H14Rik
NA	1700011I03Rik
ENSMUSG00000031682	1700011L22Rik
ENSMUSG00000079476	1700011M02Rik
ENSMUSG00000029766	1700012A03Rik
ENSMUSG00000020617	1700012B07Rik
ENSMUSG00000031927	1700012B09Rik
NA	1700012L04Rik
ENSMUSG00000028589	1700012P22Rik
ENSMUSG00000079346	1700013D24Rik
ENSMUSG00000027886	1700013F07Rik
ENSMUSG00000041399	1700013G24Rik
